State,Source,Type,Category,Withdrawal_MGD,Population
Alabama,Surface,Fresh,Total,9470.0,4780000
Alaska,Surface,Fresh,Total,391.0,710000
Arizona,Surface,Fresh,Total,3540.0,6390000
Arkansas,Surface,Fresh,Total,3540.0,2920000
California,Surface,Fresh,Total,18800.0,37300000
Colorado,Surface,Fresh,Total,9440.0,5030000
Connecticut,Surface,Fresh,Total,600.0,3570000
Delaware,Surface,Fresh,Total,144.0,898000
District Of Columbia,Surface,Fresh,Total,0.05,602000
Florida,Surface,Fresh,Total,2230.0,18800000
Georgia,Surface,Fresh,Total,3210.0,9690000
Hawaii,Surface,Fresh,Total,248.0,1360000
Idaho,Surface,Fresh,Total,13000.0,1570000
Illinois,Surface,Fresh,Total,12200.0,12800000
Indiana,Surface,Fresh,Total,7920.0,6480000
Iowa,Surface,Fresh,Total,2420.0,3050000
Kansas,Surface,Fresh,Total,800.0,2850000
Kentucky,Surface,Fresh,Total,4130.0,4340000
Louisiana,Surface,Fresh,Total,6960.0,4530000
Maine,Surface,Fresh,Total,309.0,1330000
Maryland,Surface,Fresh,Total,1210.0,5770000
Massachusetts,Surface,Fresh,Total,703.0,6550000
Michigan,Surface,Fresh,Total,10100.0,9880000
Minnesota,Surface,Fresh,Total,3080.0,5300000
Mississippi,Surface,Fresh,Total,1240.0,2970000
Missouri,Surface,Fresh,Total,6750.0,5990000
Montana,Surface,Fresh,Total,7360.0,989000
Nebraska,Surface,Fresh,Total,3320.0,1830000
Nevada,Surface,Fresh,Total,1420.0,2700000
New Hampshire,Surface,Fresh,Total,277.0,1320000
New Jersey,Surface,Fresh,Total,1320.0,8790000
New Mexico,Surface,Fresh,Total,1590.0,2060000
New York,Surface,Fresh,Total,5020.0,19400000
North Carolina,Surface,Fresh,Total,10400.0,9540000
North Dakota,Surface,Fresh,Total,994.0,673000
Ohio,Surface,Fresh,Total,8510.0,11500000
Oklahoma,Surface,Fresh,Total,1140.0,3750000
Oregon,Surface,Fresh,Total,4600.0,3830000
Pennsylvania,Surface,Fresh,Total,7480.0,12700000
Rhode Island,Surface,Fresh,Total,98.0,1050000
South Carolina,Surface,Fresh,Total,6440.0,4630000
South Dakota,Surface,Fresh,Total,287.0,814000
Tennessee,Surface,Fresh,Total,7230.0,6350000
Texas,Surface,Fresh,Total,15800.0,25100000
